run_id,local_order_id,exchange_order_id,symbol,symbol_id,order_role,status,side,order_price,price_tick,slippage_ticks,signal_lag_id,signal_lag_local_ns,signal_lag_age_ns,request_send_local_ns,place_creation_exchange_ns,terminal_event,terminal_exchange_ns,window_duration_ns,signal_marketability,creation_marketability,window_marketability,terminal_marketability,marketability_observation,bbo_records_at_creation,bbo_records_in_window,bbo_records_at_terminal,first_no_cross_after_send_ns,first_no_cross_opposite_price,missing_reason
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567774,1463525515501121536,DEXEUSDT,135,entry,kCancelled,kSell,7.947,0.001,7,429815345244,1784657594507335042,52284272,1784657594559293987,1784657594561000000,cancel,1784657594562000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,4,1,571660,7.946,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567775,1463525740974321665,BTWUSDT,95,entry,kCancelled,kSell,0.076292,1e-06,13,429816507253,1784657648237110986,80948666,1784657648316958480,1784657648318000000,cancel,1784657648320000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,6,1,149996,0.076219,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567776,1463528486276313092,TAOUSDT,415,entry,kCancelled,kSell,198.89,0.01,4,374411292901,1784658302846400177,750835,1784658302846762498,1784658302849000000,cancel,1784658302850000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,3,1,137840,198.88,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567777,1463529778616872963,USUSDT,445,entry,kCancelled,kBuy,0.041663,1e-06,9,664773805275,1784658610962934641,3457389,1784658610965468883,1784658610967000000,cancel,1784658610969000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,2,1,891826,0.041674,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567778,1463529822602539013,BTWUSDT,95,entry,kCancelled,kSell,0.077237,1e-06,13,429837512958,1784658621445904311,6995387,1784658621452006268,1784658621454000000,cancel,1784658621456000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,2,1,624013,0.077164,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567779,1463530663799566376,DEXEUSDT,135,entry,kCancelled,kBuy,8.216,0.001,7,429842578793,1784658822007497439,2203114,1784658822009215445,1784658822011000000,cancel,1784658822013000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,2,1,2113486,8.217,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567780,1463531691538264066,BTWUSDT,95,entry,kCancelled,kSell,0.077491,1e-06,13,429848711382,1784659066867788737,174225942,1784659067041238172,1784659067043000000,cancel,1784659067045000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,7,1,1460643,0.077422,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567781,1463532849275219973,1000XECUSDT,494,entry,kCancelled,kBuy,0.007427,1e-06,1,429855551627,1784659342816189075,251942050,1784659343067953448,1784659343069000000,cancel,1784659343071000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,6,1,1262368,0.007428,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567782,1463533057434333291,DEXEUSDT,135,entry,kCancelled,kSell,7.876,0.001,7,429856596331,1784659392689728723,7947335,1784659392696956894,1784659392699000000,cancel,1784659392700000000,1000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,22,1,803791,7.875,
20260721_142306_bitget_combined46_n6_fanout1_12h,432345564227567783,1463533505314697218,DEXEUSDT,135,entry,kCancelled,kBuy,7.972,0.001,7,429859050482,1784659499478985658,1248982,1784659499479255806,1784659499481000000,cancel,1784659499483000000,2000000,all_cross,no_cross,no_cross,no_cross,not_marketable_observed,1,23,1,222326,7.973,
